Date,Open,High,Low,Close,Adj Close**,Volume
27-May-20,"3,015.65","3,036.25","2,969.75","3,036.13","3,036.13","6,371,230,000"
28-May-20,"3,046.61","3,068.67","3,023.40","3,029.73","3,029.73","5,402,670,000"
29-May-20,"3,025.17","3,049.17","2,998.61","3,044.31","3,044.31","7,275,080,000"
1-Jun-20,"3,038.78","3,062.18","3,031.54","3,055.73","3,055.73","4,673,410,000"
2-Jun-20,"3,064.78","3,081.07","3,051.64","3,080.82","3,080.82","5,187,230,000"
3-Jun-20,"3,098.90","3,130.94","3,098.90","3,122.87","3,122.87","5,989,560,000"
4-Jun-20,"3,111.56","3,128.91","3,090.41","3,112.35","3,112.35","6,428,130,000"
5-Jun-20,"3,163.84","3,211.72","3,163.84","3,193.93","3,193.93","8,617,590,000"
8-Jun-20,"3,199.92","3,233.13","3,196.00","3,232.39","3,232.39","8,437,380,000"
9-Jun-20,"3,213.32","3,222.71","3,193.11","3,207.18","3,207.18","6,382,620,000"
10-Jun-20,"3,213.42","3,223.27","3,181.49","3,190.14","3,190.14","6,570,840,000"
11-Jun-20,"3,123.53","3,123.53","2,999.49","3,002.10","3,002.10","7,018,890,000"
12-Jun-20,"3,071.04","3,088.42","2,984.47","3,041.31","3,041.31","5,832,250,000"
15-Jun-20,"2,993.76","3,079.76","2,965.66","3,066.59","3,066.59","5,740,660,000"
16-Jun-20,"3,131.00","3,153.45","3,076.06","3,124.74","3,124.74","5,829,240,000"
17-Jun-20,"3,136.13","3,141.16","3,108.03","3,113.49","3,113.49","4,549,390,000"
18-Jun-20,"3,101.64","3,120.00","3,093.51","3,115.34","3,115.34","4,429,030,000"
19-Jun-20,"3,140.29","3,155.53","3,083.11","3,097.74","3,097.74","8,327,780,000"
22-Jun-20,"3,094.42","3,120.92","3,079.39","3,117.86","3,117.86","4,665,380,000"
23-Jun-20,"3,138.70","3,154.90","3,127.12","3,131.29","3,131.29","4,704,830,000"
24-Jun-20,"3,114.40","3,115.01","3,032.13","3,050.33","3,050.33","5,587,200,000"
25-Jun-20,"3,046.60","3,086.25","3,024.01","3,083.76","3,083.76","4,815,420,000"
26-Jun-20,"3,073.20","3,073.73","3,004.63","3,009.05","3,009.05","8,098,120,000"
29-Jun-20,"3,018.59","3,053.89","2,999.74","3,053.24","3,053.24","4,462,770,000"
30-Jun-20,"3,050.20","3,111.51","3,047.83","3,100.29","3,100.29","4,696,280,000"
1-Jul-20,"3,105.92","3,128.44","3,101.17","3,115.86","3,115.86","4,443,130,000"
2-Jul-20,"3,143.64","3,165.81","3,124.52","3,130.01","3,130.01","4,190,830,000"
6-Jul-20,"3,155.29","3,182.59","3,155.29","3,179.72","3,179.72","4,736,450,000"
7-Jul-20,"3,166.44","3,184.15","3,142.93","3,145.32","3,145.32","4,563,700,000"
8-Jul-20,"3,153.07","3,171.80","3,136.53","3,169.94","3,169.94","4,927,700,000"
9-Jul-20,"3,176.17","3,179.78","3,115.70","3,152.05","3,152.05","4,829,020,000"
10-Jul-20,"3,152.47","3,186.82","3,136.22","3,185.04","3,185.04","4,515,340,000"
13-Jul-20,"3,205.08","3,235.32","3,149.43","3,155.22","3,155.22","4,890,780,000"
14-Jul-20,"3,141.11","3,200.95","3,127.66","3,197.52","3,197.52","4,476,170,000"
15-Jul-20,"3,225.98","3,238.28","3,200.76","3,226.56","3,226.56","4,669,760,000"
